name,measurement_unit,weight_per_unit,protein_per_100g,calories_per_100g,fat_per_100g,carbohydrates_per_100g,alcohol_percentage
barre guimauve action,g,,39,359,0,52,0
belgische spruitjes,g,,2.5,45,0.7,5,0
herbal infusion spicy rooibos,g,,0,1,0,0.2,0
builders protein + caffeine,g,,29.4,426.5,14.7,42.6,0
ah donker mz bel,g,,15,316,10,40,0
appelcake,g,,4.3,349,18,42,0
granaatappelpitjes,g,,1.3,56,0.2,12,0
gerookte zalm roomkaas,g,,8.7,267,24,3.9,0
fromage  frais,g,,7.8,129,8.8,2.9,0
smoothy,g,,0.6,66,2.6,8.6,0
yogurt schipool,g,,5.2,141,6.5,14.6,0
super chicken & egg,g,,10.7,244,12.7,20.4,0
bacon and egg,g,,14,276,16,18,0
pure chocolade gevuld met likeur chocolat noir fourré à la liqueur,g,,4.9,487,25,59,0
cooking spray low calorie,g,,0,785,87,0,0
tarte au poireaux crème fraîche entière,g,,5.5,253,16,20,0
toffee pinda kaas,g,,22,611,49,16,0
pure cocoa,g,,4,600,46,41,0
green tea cheerful matcha,g,,0,1,0,0.2,0
partybrood meergranen,g,,10,256,2.8,45,0
kankworst,g,,12.2,163,11.4,3,0
spa touch blackcurrant,ml,,0,0,0,0,0
wrap cajun chicken and jalapeños,g,,11.8,269,12.2,22.9,0
bloemkoolschotel,g,,1.9,48,0.2,8.3,0
griekse pita gyros,g,,9.6,131,4.7,3.5,0
waffle all'uovo,g,,6.8,382,18.2,46.9,0
wrap cheddar tomaat,g,,8.3,265,16,21,0
cinnamom cookie,g,,5,70,2,3,0
franse brie,g,,17,364,32,2,0
jalapeño mwc & cheese,g,,3.3,100.8,2.1,16.9,0
barbecue,g,,6.2,507,28,54,0
high protein drink chocolade,ml,,8.1,56.4,0.5,4.9,0
bacon,g,,19,157,9.2,0.5,0
suikerbrood,g,,7.4,320,4.8,61,0
biologische fuet,g,,27,416,34,0.5,0
garlic powder,g,,16.6,346,0.7,63.7,0
hachee,g,,22,121,3.3,0.9,0
pesto van montanini,g,,3.2,347,32,10,0
boisson énergisante - hell nova cherry beam,g,,0.5,46,0,11,0
baguette / stokbrood,g,,8.8,257,1,52,0
tijm,g,,5.6,156,1.1,24,0
tomatensoep met aubergine,g,,1,55,3.5,4.3,0
green goodness,ml,,1.1,28,1,3.1,0
biscuit matcha,g,,11,498,22.6,62.6,0
one pot crevettes &orzo à la toscane,g,,5,94,2,13,0
gerookte rauwe ham,g,,25.8,229,13.7,0.5,0
sate gehaktballen,g,,11,310,25,10,0
mosterd mayonaise,ml,,1.6,666,71.9,22,0
fruit salade,g,,0.6,45,0.1,9.4,0
tartaartjes,g,,19.2,169,9.6,0.5,0
salsasaus,g,,1.3,77.8,0.2,17,0
basil carpaccio sauce,ml,,1.6,600,63.8,4.9,0
delicious night protein,g,,76.4,346.5,2.2,6,0
crema  verduras elsa,g,,1.2,44,1.2,6.7,0
ahornsiroop,ml,,0.5,257,0.5,65,0
wey isolate xp banana flavour,g,,89,363,0.3,1.4,0
whey hydro,g,,85.9,359,2.6,2.8,0
kleefrijstmeel,g,,6.2,357,1,80.2,0
ermitage,g,,20,327,27,1,0
melt caramel swirl,g,,4.6,69,2.2,7.4,0
lemon ginger,ml,,0,12,0,2.3,0
lighter butter,g,,0.5,252,28,0.5,0
rundvlees,ml,,0.6,31,0.6,5.5,0
volkoren afbakbroodjes,g,,11.6,241,1.5,41.5,0
sorbetijs met citroenpuree,g,,0.1,112,0.3,26.8,0
scharrel gebraden kipfilet,g,,20,109,2.3,1.8,0
smores frappicino,g,,2.9,62,1.6,8.9,0
water cleared isolate - empose,g,,84,352,2,3.6,0
filet american mager,g,,16.5,203,14,2.1,0
zeeuwse bolusmix,g,,3.8,225,0.4,87,0
rice noodles,g,,6.4,329,0.8,73,0
gratin dauphinois,g,,1.7,116,5.6,13.9,0
runderbraadworst,g,,19,263,20,1.6,0
asian chicken curry,g,,6.3,123,4.4,14,0
dadels & vijgen mix,g,,6,376,11.2,60.8,0
ramen express,g,,2,91,4,11.1,0
puur 85% cacao chocolade,g,,11.0,610,51.0,21.0,0
groene smoothie,g,,1.1,27,0.2,4.2,0
gewokte rijst met kokos,g,,8.3,417,8.1,76.2,0
ciabattina,g,,7.7,265,3,50.7,0
ice coffee,g,,2.7,35,1.1,3.5,0
pompoenstukjes diepvries,g,,0.9,40,0.2,7.8,0
voorgebakken kibbeling,g,,15.2,112,4.7,2,0
"fairtrade melkpoeder, cacaomassa weiboeder (melk),",g,,5.3,543,31.2,59.2,0
lasagne all'uovo,g,,10,285,3,53,0
pulled chicken met barbecussaus,g,,13.4,188,11.6,7.4,0
kipreepjes,g,,16.5,146,7.1,4,0
stoofstukjes,g,,24,180,5.3,8.7,0
frische eierspätzle,g,,6.1,164,3.1,27,0
pinda pretzl,g,,10,331,4.7,50,0
leerdammer protein,g,,29.5,262,16,0.0,0
pineapple slices,g,,0.4,52,0,12,0
vegan proteine poeder chocolade,g,,70.4,394,9.3,7.1,0
bagel wit,g,,9.6,307,4,57,0
shoarma kipreepjes,g,,6.9,80.8,1.7,8.6,0
espresso martini,g,,8.7,576,41,41,0
satésaus naturel,g,,7.5,244,13.5,22,0
"power tropische gember b6,b8 & c",g,,0.8,47,0.5,10,0
mangue ice tea,g,,0.5,20,0.5,4.7,0
cordon blij,g,,12,193,11,9.5,0
jamon serrano duroc,g,,34,248,12,1,0
paprikakrokantjes mild,g,,3.6,522,29,61,0
geitenkaas jong belegen 50+,g,,23,366,30,0.9,0
peperkoek zonder suiker.,g,,3.6,232,1.2,52,0
plantaardige salade kip kerrie,g,,7.8,273,23,7.9,0
chips truffe,g,,6.4,494,28.7,50,0
gevroren gebakken viscake madang nori,g,,10,180,4.2,24,0
room dessert double coffee,g,,2.5,115,4.5,16,0
when protein hazelnoot,g,,80,386,6.3,4.4,0
multigrain rice mix,g,,8.4,347,2,70.3,0
biefstuk,g,,23,108,1.8,0,0
tops,g,,5.8,498,24.8,60.9,0
ah ciabatta,g,,7.7,264,2.7,51,0
voorgegaarde kippenhaasjes,g,,15,197,7.4,17,0
légumes fermentés,g,,1.3,46,3,3,0
duitse goulash,g,,4.6,74,1.9,9.1,0
kikiricrunch burger,g,,8.8,242,16,13,0
whey protein - xxl nutrition,g,,78.5,400.3,6.3,7.4,0
plantaardige,g,,5.9,159,12,5.2,0
birthdaycake cookie,g,,0.7,84,2.4,13,0
pimojito,g,,0,48,0,11,0
healthyhand,g,,5,140,5.8,16,0
gesneden bladspinazie,g,,3.5,24,0.1,0.6,0
zoete aardappel/rode biet,g,,0.7,35,2.0,3.4,0
craquers,g,,12,397,5.2,73,0
eiwit oats,g,,25.7,412.9,14.1,41.4,0
kipfilet indian style,g,,7.8,65,1.8,3.3,0
mini tompouce toffee,g,,3.2,329,19,36,0
burrito tex mex,g,,6.1,128,2,20.1,0
beef and tomato pot noodle,g,,3.3,136,5.3,18,0
cookie bites galette wafeltjes,g,,7,485,21,66,0
jung & mild,g,,22.6,383,32.5,0,0
super sadni jogurt,g,,3.7,86,2.6,12,0
rundersaucijs,g,,15.6,253,20.8,0.7,0
cookies on cookie dough,ml,,1.7,255,11,37,0
per/par/pro portie/portion (100 ml): 367 kj 88 kca,g,,3.7,88,3.7,9.9,0
rode kool met hachee,g,,4,87,3.9,8.3,0
maaltijdsalade gekookte rode biet,g,,4.7,128,9,5.8,0
biologische babyvoeding,g,,0.6,59,0.2,12.2,0
"babyvoeding wortel, kip, aardappel",g,,2.3,63,1.9,8,0
melkchocolade met karamel en zeezout,g,,6.9,537,32,54,0
korenlanders waldkorn bollen,g,,14.2,285,6.8,38.3,0
witlofham,g,,16,102,2.1,4.8,0
aspergeham,g,,19,120,3.9,2.5,0
stoofpeertjes met aardappelpuree en hachee,g,,2.9,91,2.4,13.7,0
"biomenu wortel, spinazie",g,,2.5,41,0.9,5.2,0
irish cream muffin,g,,5,380,19,48,0
ananas/kiwi/druif,g,,0.7,62,0.3,13,0
mini mais wafels,g,,7.7,406.7,7.3,77.0,0
pate a tartiner choco noisette,g,,12.4,674,56.6,25.2,0
chocolade wafel,g,,21,399,21,37,0
planta fin,g,,0.5,531,59,0.5,0
focaccia  margherita,g,,10,260,8.3,35,0
ice tea manga zero açúcar,g,,0.5,3,0.5,0.5,0
protiplan bueno chocolate hazelnut - protiplan,g,,34,507,33,17,0
kaasplateau pittig,g,,19.7,302,24.4,0.7,0
scharrel kipfilet reepjes,g,,23,105,1.5,0,0
sereh - citroengras,g,,1.8,88,0.5,12,0
mexicaanse burritos,g,,7.1,146,6.2,14,0
gebakken kalkoenfilet,g,,4.2,21,0.3,0.4,0
linzen mix,g,,21,306,1.5,43,0
cocktail snacks,g,,9.1,440,16,63,0
kalkoen bacon,g,,16,204,15,1,0
broodje mozzarella,g,,9.4,204,5.5,27,0
broodje mozarella,g,,9.4,204,5.5,27,0
wrap tex-mex,g,,8.1,175,4.5,24,0
délicious protéin pudding,g,,55.5,354,0.9,32.7,0
gele rijst met sperziebonen en kipsaté.,g,,5.2,128,3.5,18.1,0
kipsaté,g,,12.4,191,10.6,11.2,0
strawberry,g,,2,420,10,84,0
brood koolhydraatverlaagd,g,,16.3,264,9.6,24.3,0
milkyways,g,,3.8,437.5,16.2,68.8,0
chocolat au lait au caramel salé,g,,6.1,538,32,55,0
fajitas,g,,4.9,90.4,4.2,6.9,0
think! delight protein bar chocolate mousse,g,,10,170,13,9,0
gouda holland kaas +48 belegen,g,,25,397,33,0,0
tonijn steaks,g,,23,101,1,0,0
midden-oosterse shakshuka,g,,4,95,2.3,13,0
chiazaad zwart,g,,16.5,443,30.7,7.7,0
italiaanse bol glutenvrij,g,,1.1,253,3.3,53,0
mini dubbels,g,,2.1,450,13.2,76.7,0
cookies sncf,g,,5.3,481,24,60,0
berry muesli,g,,11.1,362,6.5,60.1,0
spicy pumpkin health shot,ml,,0.7,28,0,5.9,0
gekookte gelderse worst,g,,12,260,22.7,3.3,0
runder riblap,g,,20,166,9.5,0,0
aardappelpuree a la minute,g,,1.6,61.1,0.9,11,0
saoto soep,g,,20,265,12,18,0
wow chocolate chip cookie,g,,3,340,17,46,0
selleriesalade,g,,1.5,177,14,10,0
protiplan bueno white chocolate pistachio,g,,28,513,35,34,0
teryiyaki style noodles,g,,2.9,105,2.8,17,0
kaas ui vlinder,g,,12,525,32,49,0
appel banaan sinaasappel,g,,0.5,60,0.1,13,0
pompoen kip aardappel,g,,2.5,54,1.2,7.5,0
houmous de lentilles corail et coriandre,g,,5.5,223,16,12,0
chiapudding framboos aardbei,g,,4.3,165,9.7,12.8,0
when protein isolate,g,,87.8,356.7,0.2,1.6,0
energy jus,g,,0.7,36,0.3,8,0
kick jus,g,,0.8,17,0.2,2.2,0
protein iced coffee,g,,74.4,374,4.8,9.6,0
protein milkshake aardbei,g,,75.2,376,3.2,10.8,0
runderknakworstjes,g,,15.6,137,8.4,1,0
smokey bbq sauce zero,ml,,1.1,47,0.2,8.9,0
saucissekes,g,,9.7,168,12,2,0
strawberry lime flavour,g,,1.3,188,1.7,68,0
flip-its paprika,g,,22,379,9.1,48,0
gebakken lekkerbek,g,,13.2,128,3,9.8,0
ah biologisch milde kiemgroente,g,,3.2,33,0.4,2.8,0
jumbo pastasaus traditional,g,,1.5,42,0.6,7,0
gehakt rundvleesbereiding,g,,17,249,19.7,1,0
fruits de mer,g,,14.4,73,1.3,1.1,0
droge worst lavendel,g,,36,342,22,0.1,0
volkoren pastaschotel met kaas,g,,2.6,56,1.6,7,0
cookie triple choco,g,,6.5,437,22,52,0
ricotta & spinazie  ravioli,g,,9,270,10,35,0
granaatappel acai drink,g,,0,1,0,0.1,0
tagliatelles,g,,12,360,1.7,73,0
maiswafel sour cream & onion,g,,7.4,414,8.3,75.9,0
gezouten karamel,g,,4.8,417,14,66,0
spinazie kip aardappel,g,,3.4,76,2.5,9.4,0
salad veggie,g,,3.0,86,5.6,5.4,0
whey delicious sweet vanilla,g,,80.4,384.5,5.7,5.6,0
kaasblokjes - jumbo - jumbo,g,,23.5,363,29.9,0,0
schenkel met been,g,,23,119,3,0,0
tex-mex kruiden,g,,7.5,315,4.2,55,0
lemon and berries ice cream,g,,2.4,153,4.6,25,0
sandwich poulet tandoori courgettes,g,,8.7,237,7.1,33,0
farine amande,g,,21,595,50,4.3,0
pâte à tarte,g,,4,300,22,24,0
"fruithapje appel, aardbei, peer",g,,0.4,54,0.2,12,0
whey isolate zero,g,,84,354,2.3,3.5,0
kipschnitzel ham en kaas,g,,13,236,14,14,0
bami en nasi groenten,g,,1.5,29,0.2,4.2,0
filled chocolate eggs,g,,4.7,535,32,55,0
mild goat cheese,g,,22,444.8,40,0.1,0
plant based protein shake,g,,20,140,2,16,0
stoomkrieltjes,g,,2,88,0,19,0
biere abbaye st erwann 7° - britt - 12*25 cl,g,,0.6,46,2.2,2.2,0
filetlapjes,g,,16.8,118,2.9,5.6,0
wortel doperwt aardappel kip,g,,3,50,0.8,7,0
vegan soepballetjes,g,,11.7,160,7.5,7.8,0
knekkebrod extra vezels,g,,18.9,439,26.2,27,0
cocktail augurken,g,,1.4,34,0.5,5.4,0
joppie beetje pittig,ml,,0.9,312,23.5,24.2,0
cookies,ml,,3.4,204,7.4,30,0
maaltijd salade libanees,g,,4.4,112,6,8.7,0
look,g,,6.4,158,0.5,31,0
ontbijt smoothie haver yoghurt framboos,ml,,3.6,65,0.7,10.5,0
kipdijfiletreepjes,g,,17,189,12.8,1.4,0
zaanse mosterd grof gemalen,g,,6.5,130,9,3.2,0
sterrenstof diet shake,g,,29,233,4.7,15,0
bladspinazie grof gesneden,g,,2,28,0.6,2,0
toscane spice blend,g,,14.6,323,5.1,46.3,0
stoofpot,g,,3.6,82,2.9,8.4,0
functional square,g,,18.2,515.2,39.4,33.3,0
salmon lovers,g,,6,161,5,22.6,0
amsterdamse ossenworst,g,,17,167,10,0.6,0
tussendoortje mango,g,,1.4,77,3,11,0
green genius salade,g,,3.7,103,4,10,0
sooji/rawa,g,,0.2,6.1,0.1,1.3,0
gevulde chocolate praline eitjes,g,,3.9,549,33,58,0
rijkgevulde bami met kip,g,,5.8,141,5,17.5,0
kip saté,g,,11,213,13,12,0
bladerdeegbakjes in paashaasvorm,g,,8.5,577,40,45,0
elstar appelen,g,,0.3,59,0.2,13,0
wit tarwesuikerbrood,g,,7.6,306,2.2,63,0
gezouten ontbijtspek,g,,17,251,20,0.8,0
pecannoten rauw / ongebrand,g,,9.2,721,72,4.3,0
halvolle melk,ml,,3.3,46,1.6,4.7,0
sriracha hummus,g,,1,50,3,5,0
gepaneerde kipschnitzel,g,,12.5,223,11.8,16.8,0
protein water,g,,4,17,0.0,0.0,0
muesli oats raisin and walnut,g,,13,382,11,53,0
instant noodle creamy carbonara flavour,g,,8.8,334,4.8,63,0
"kaas jong 30+ met 0,8% komijnzaad",g,,28,265,17,0,0
traybake hollandse stijl,g,,23,364,28.3,2.9,0
mix voor chocolate chip cookies,g,,4.9,522,31,55,0
kip zoetzuur,g,,6.3,78,0.5,12,0
noedels op shanghaise wijze,g,,4.8,145,4.8,20,0
helder bruisend watermeloen smaak,ml,,0.1,0,0,0.1,0
lahmacun,g,,8.1,188,2.2,28,0
smoothiemix,g,,0.5,55,0.2,11.5,0
raspberry & vanilla,g,,0,199,0.8,74,0
suikervrij muntendrop,g,,12,267,0.3,73,0
proteïne poeder puur,g,,90,355,0,1.3,0
river appel & peer,ml,,0,3,0,0,0
mangostukjes,g,,0.6,65,0.2,14.3,0
extra rijkgevulg paprika tomatensoep,ml,,2.2,55,1.7,6,0
droomsap,ml,,0,125,0,32.5,3.8
biologische matcha poeder,g,,24.1,285,5.2,21.2,0
amandes d’espagne,g,,25,628,52,8.4,0
barbecuesaus,ml,,1.1,87,0.1,19.4,0
paas timbola’s,g,,4,423,17,62,0
fruitontbijt sinaasappel aardbei,ml,,0.7,49,0,10.1,0
stoofperen,g,,3.4,78,2.6,9.5,0
hutspotgroente,g,,0.9,35,0.3,5.7,0
salata fijne kruidendressing,ml,,0.7,230,21,9.8,0
bueno pure chocolade kokos,g,,29,490,32,16,0
gouda's glorie met roomboter 250 g,g,,0.5,635,70,0.8,0
guacamole zwarte bonen mexicaanse groente,g,,2.5,88,5,6.6,0
ananassap,ml,,0.4,52,0,12,0
salad rolls,g,,7.1,218,14,14,0
jun ju kim chi,ml,,2,30,0.1,5,0
"ham, kaas ei sandwich",g,,9.4,210,10.2,19.3,0
gevuld wit crispy biscuit,g,,6.5,590,41,48,0
lekker! maga jumbo bereid in zonnebloemolie gezell,g,,2.6,187,7.9,25.1,0
bloemkool- en broccoliroosjes,g,,2.3,26,0.4,2,0
broodje bapao,g,,8.4,256,6.7,39.2,0
meergranen biscuit appelsmaak,g,,6.7,387,8.3,67.0,0
pie scharrelkip ragout,g,,7.3,255,16,20,0
tomaten-kikkererwtensoep,g,,3,61,1.6,7.7,0
shake cookies,g,,43.1,370.9,7.3,31.3,0
chocolade-eitjes extra puur,g,,8.9,539,39,31,0
kipsatésalade,g,,9.1,276,19,16.8,0
zwarte kleefrijst,g,,8.5,344,1.6,75,0
sparwoudse jong belegen 35+,g,,27.6,298,20.8,0,0
kool peen,g,,1.3,32,0.2,4.8,0
bakboter,g,,0.5,675,75,0.5,0
green genius,g,,3.7,103,4,10,0
chocolate croissant,g,,6.2,374,21,39,0
rustic baguette with sourdough,g,,8.4,256,1,51.8,0
mascarpone chili dip,g,,4,360,33,15,0
fruit salad,g,,0.5,48,0.1,10,0
bamipakket,g,,2.1,32,0.5,3.7,0
kant-en-klare uitjes jus,ml,,1.5,64,4,5.5,0
caesar salade,g,,5.6,115.6,6.9,6.9,0
salted caramel taste biscuits,g,,6.4,504,24,66,0
meal shake cookies & cream flavor,g,,47.1,377,12,18,0
bio schokolade peru 78%,g,,10,577,46,25,0
italiaanse mix,g,,5.8,138,10,5.4,0
filetlapjes a la minute naturel,g,,23.3,128,3.9,0,0
bavaria 0.0 wit,ml,,0.3,24,0,6.4,0
paneermix broodkruimels panko,g,,9.8,270,0.2,56,0
sriracha mayonaise sauce,g,,0.5,230,14.4,23,0
biologische granola chocolade kokos,g,,9.1,481,22.4,57.2,0
speculooskoekjes,g,,5.7,487,18.4,73.9,0
franse bospaddenstoelensoep,ml,,1.3,34,1.2,4,0
advocaatspritsen,g,,4.2,563,35.3,56.6,0
flush strawberry,g,,0.4,14,0,0.1,0
geitenkaas 50+ koriander,g,,25,388,32,0,0
protiplan bueno,g,,27.5,492.5,35,32.5,0
kipbouillon,g,,18,317,22,12,0
mass gainer,g,,20,370,1.9,69.2,0
monster munch,g,,1.5,556,34,60,0
sparkling ice tea zero,ml,,0,2,0,0,0
amandelcroissant,g,,7.5,377,20,41,0
harira,g,,4.1,74,3.8,4.8,0
kombucha framboesa,ml,,0.5,11,0.5,2.5,0
smoothie aardbei banaan appel,ml,,0.5,48,0,11.1,0
pokebowl rijst kant en klaar,g,,3.3,192,1.9,40,0
saushi sesam,ml,,1.2,395,39.7,7.8,0
gerookte spekreepjes,g,,14,274,24,0.5,0
"sweet potato and wild rice, hash harvest bowl",g,,3.0,103.7,3.4,15.2,0
stoom en klaar verse tagliatelle zalm,g,,5.2,124,5.4,12,0
kip mexicaanse stijl,g,,5.2,81,2.2,8.9,0
magere rauwe ham,g,,27,140,3,1,0
verse soep asperge,g,,2.4,47,2.4,3.7,0
semoor djawa,g,,5.9,241,10.7,29.7,0
verse smoothie ch mango maracuja sinaasappe nutri-,ml,,0.6,42,0,9.5,0
empanada spicy beef,g,,5.7,243,13,25,0
vegan ball,g,,9.7,100,2.4,6.8,0
picnic bevroren frambozen,g,,1,41,0.5,6,0
wit tarwebrood met knoflook en mozarella,g,,8.9,284,11,36.5,0
frecious slowjuice,g,,0.8,12,0.2,2.1,0
biet julienne,g,,1.7,38,0.1,6,0
pikante tonijn,g,,11,277,22,7.8,0
perfect whey protein banana,g,,79.3,390,6.7,4.7,0
soja gurt ongezoet kokos,g,,4.5,52,3.5,0.4,0
mokkaboontjes pure chocola,g,,4.1,512,28,56,0
caña lomo,g,,34,323,20.7,1,0
avocado toast,g,,6.7,433.3,8.3,80,0
slow cooked vegetable beef soup,g,,2.6,48.8,0.6,8.3,0
libanees brood wit,g,,8.4,242,0.7,48.5,0
tomatenchutney,ml,,1,102,0.5,22.7,0
frambozen en blauwe bessen,g,,0.7,56,0,12.5,0
milky whey protein chocolate,g,,72,376,6,6,0
steak strips honey bbq,g,,32,292,4,36.3,0
magnum double salted caramel,ml,,3.8,317,18,34,0
sojaboontjes,g,,14,134,6,5.1,0
smeuïge parelcouscous,g,,12.5,357,0.9,73.2,0
rijst poké bowl,g,,6.4,360,1,79.1,0
granola oat flakes,g,,11.5,448,18.3,52.3,0
broccolirijst,g,,2.9,27,0.7,0.7,0
yazzara wortel pompoendip,g,,0.8,238,21.2,10,0
recharge,g,,1.1,21,0.3,5.2,0
quiche spinazie kastanjechampignons,g,,5.7,123,5.6,11.2,0
whey pro pure,g,,76.7,394.4,5,6.7,0
poke bowl builtje,g,,6.4,360,0.1,79.6,0
pizza kipshoarma,g,,10.5,215,8.5,23.5,0
cream cheese filled croissant,g,,7.4,367.6,17.6,44.1,0
x-pop,g,,0,114,1.8,24,0
smeerbare paté,g,,8,248,20.3,8.2,0
bapao kipsate,g,,8.3,230,5.1,37,0
bevroren frinkandelbroodje,g,,13,346,22,23,0
ananas mango druif,g,,0.4,42,0.1,9.3,0
ice coffee - whey perfection,g,,75,360.7,3.9,5,0
tusonca,g,,12,230,20,0.1,0
tropischer fruchtsalat,g,,0.6,46,0.2,9.7,0
pecorino romano 35+,g,,25,406,34,0,0
babyspinazie,g,,3.4,26,0.5,0.9,0
crossaint,g,,9.1,343.9,16,38,0
fruitbiscuits,g,,5,383,7,74,0
chocolate waffle,g,,5.9,471,25.4,53.5,0
cheese wedge,g,,11.8,323,19.9,22.9,0
gembersiroop,ml,,0,256,0,64,0
classic burger bbq sauce,ml,,1.9,132,0.5,28.8,0
regarded worst gekruid,g,,12,292,24.8,4.8,0
mango & guave vitamine drink,ml,,0.1,21,0.1,4.8,0
biologische fruit hapjes,g,,0,58,0,14,0
lemoncello,g,,3.3,256,7.3,41.1,0
ijskoffie,g,,3.8,57,0.1,10,0
biologische 72% extra puur,g,,7.5,573,43.2,32.3,0
vitamine drink framboos en granaatappel smaak,ml,,0,2,0,0.5,0
"culinair voor bakken, koken en roerbakken",g,,0,657,73,0,0
kwark banaan,g,,6.1,117,3.7,14.8,0
mueslireep yoghurt smaak & fruit,g,,5.5,371,8.8,55.8,0
robuuste crackers haver,g,,10.3,292,20.8,18.8,0
eierwafel met poedersuiker,g,,7.8,472,25.8,51.4,0
maïswafels lijnzaad,g,,9,393,2.9,81.7,0
groentensap spinazie avocado appel kokoswater,ml,,0.6,61,2.7,8.3,0
roomspinazie,g,,3,45,1.8,3,0
groene salade caeser,g,,4.8,134,10.3,5.2,0
vegetarische spekreepjes,g,,16.1,269,19.3,6.9,0
ecuador pure chocolade,g,,9,546,40,30,0
krokante knapperkoek,g,,5.5,496,21,71,0
babi pangang met bami goreng,g,,6.1,147,4.3,20.6,0
miniloempia kip,g,,4.9,191,6,28.3,0
skyr protein,g,,4.8,113,7.3,3.4,0
beurre cacahouètes,g,,22.2,625,52.2,13,0
jumbo bosvruchten yoghurt biscuits,g,,5.2,431,12.1,74,0
rode grape fruit,ml,,0.5,37,0.5,7.6,0
fruits secs,g,,11.9,431,20.6,46.4,0
stroopwafels met botterbabbelaarsmaak,g,,3.7,502,27.5,60.5,0
barbecueworst kip piri piri,g,,14.8,220,16,4,0
pindakaas american style,g,,23.4,603,48.1,15.1,0
mini stroop wafels met roomboter,g,,3.5,454,21,62,0
original américain style,ml,,0.8,151,0.1,35.7,0
slagers achterham 125 gram,g,,18.5,123,4.5,2,0
broodgeluk boer mais,g,,9.7,255,2.2,48.3,0
sugo kruiden,g,,1.5,31,0.3,5.2,0
biologische naturel spaghetti,g,,11.8,354,1.5,72,0
kwarktoetjes,g,,6.8,92,2,11.6,0
vanilleyoghurt halfvol,g,,3,74,1.6,11.8,0
nieuwe standaard kip dijfilet,g,,17,163,10.6,0,0
magere drink yoghurt banaan (0% vet),g,,3,29,0.1,4.1,0
tilapiafilet,g,,17.6,98,3.1,0,0
fusion waterijsjes,g,,0.1,76,0.1,18.7,0
stroopwafels verpakt single pack,g,,3,452,21,62,0
hartige biscuits tomaat & italiaanse kruiden,g,,9.2,428,14.7,63.2,0
mini stroopwafels met roomboter,g,,3.5,454,21,62,0
chips au paprika,g,,6,535,32.8,51.6,0
fruitsiroop bosvruchten,ml,,0.2,270,0.1,66,0
gezouten notenmix,g,,19.6,584,44.1,23.9,0
biologische koffiemelk halfvol,g,,8.3,118,4.3,11.4,0
geitenroomkaas 50+,g,,15.2,279,23.3,2,0
romige kwark vanille,g,,6.1,118,3.8,14.9,0
framboos & granaatappel smaak vitamin drink zero,g,,0,2,0,0.5,0
american cookies,g,,6.2,464,25.1,52.3,0
cocktail borrelnoten,g,,13.3,516,30.7,44.2,0
vruchtengebak met roomboter,g,,3.3,391,12.1,64.4,0
vitamine drink framboos & granaatappel smaak zero,g,,0,2,0,0.5,0
spices kaneel,g,,0,1,0,0.2,0
lekker veggie vegetarische cordon bleu,g,,18.5,253,11.5,17.2,0
steranijs warm & zoet,g,,0.1,1,0,0.2,0
pindakaas honey crunch,g,,20.9,619,50.1,17.8,0
wapenaer extra belegen gouda 48+,g,,25.8,404,33.7,0,0
magnum almond remix,g,,3.9,270,17,25,0
disco biscuit,g,,4.9,452,18.5,65.6,0
bak meel zelfrijzend,g,,9.9,352,2.8,70.9,0
biologische varkensroompaté,g,,6,180,15.5,4.2,0
julienne wortel,g,,0.6,33,0.3,5.5,0
kastanje champignons  & broccoli ovengroente,g,,1.6,28,0.3,3.5,0
kalkoenfilet gegrild,g,,19,117,4,1.2,0
cola zero sugar marshmallow flavour,ml,,0.1,1,0,0.2,0
scharrel kipgrillworst,g,,14,171,10.5,5,0
geitenkaas saladebolletjes 45+,g,,16,272,21,3,0
boerenpaté,g,,13,330,28,6.5,0
rijst- & maïswafels,g,,7.2,440,14.7,68.7,0
bakkers kruidnoten chocolademix,g,,5.6,480,20.2,67.9,0
brabantse worstenbroodjes,g,,14.7,292.6,12.5,29.6,0
bapao hete kip,g,,7.8,223,4.6,36.4,0
scharrel grillworst kip,g,,12.4,266,21,6.6,0
roasted pork flinterdun,g,,18,241,17.5,1.7,0
cremepathe groene peper,g,,10,267,24,5.7,0
pickled garlic,g,,0.8,13.3,0,2.5,0
blueberry kwark,g,,10,71,0.1,6.4,0
scharrel kipfilet flinterdun,g,,19,125,4.6,2,0
edamamebonen,g,,7.4,87.7,4.5,2.5,0
smeerkaas naturel light 15+,g,,16.9,135,5.7,1.5,0
varkensroompaté,g,,13,329,27,8.5,0
la place tomaat focaccia wit,g,,7.5,235,3.9,41.8,0
pandanrijst,g,,6.7,352,0.8,79,0
pipe rigate grote macaroni,g,,12.5,362,1.4,72,0
vitamine drink zero sugar framboos & granaatappel smaak,g,,0,2,0,0.5,0
mild multivruchten,ml,,0.2,50,0.1,11.6,0
scharrel flinterdunne kipfilet,g,,20,104,2.2,0.5,0
jelly popping candy beanies in dairy milk milk chocolate,g,,6.4,514,26.4,61.6,0
stevig speltbrood,g,,9.3,257,3.9,42.6,0
silvo mix voor ym gehakt italiaans 500g gehakt,g,,12.7,315,3.3,55,0
scharrel gebraden kipfilet beleg,g,,20,104,2.2,0.5,0
crunchy muesli chocolade,g,,9.4,439,16.6,57.2,0
biologische nasi kipsate,g,,6.7,152,6.8,15.4,0
krokante pizza kip tikka,g,,9.7,249.4,11.9,25,0
scharreleieren m,g,,13.3,141.7,10,0,0
